F0    IEKB  0011110000890000200000020000000890
F0    IEKE  0011110000890000200000020000000890
F0    IIKE  0011110000890000200000020000000890
F0    IPKB  0011110000890000200000020000000890
F0    IPKE  0011110000890000200000020000000890
F0    IPPB  0011110000890000200000020000000890
F0    IPPBXX0011110000890000200000020000000890
F0    IPPE  0011110000890000200000020000000890
F0    IPPEXX0011110000890000200000020000000890
F3          0001000000760000119900011990000760
FD          0001000000890000250000025000000890
FD    I2FC  0011110000000000000000000000000000
FD    I2HB  0011110000000000000000000000000000
FD    I2HE  0011110000000000000000000000000000
FD    I2KB  0011110000000000000000000000000000
FD    I2KE  0011110000000000000000000000000000
FD    I2PB  0011110000000000000000000000000000
FD    I2PBXX0011110000000000000000000000000000
FD    I2PE  0011110000000000000000000000000000
FD    I2PEXX0011110000000000000000000000000000
FD    IEHB  0011110000000000000000000000000000
FD    IEHE  0011110000000000000000000000000000
FD    IEKB  0011110000000000000000000000000000
FD    IEKE  0011110000000000000000000000000000
FD    IPKB  0011110000000000000000000000000000
FD    IPKE  0011110000000000000000000000000000
FD    IPPB  0011110000000000000000000000000000
FD    IPPBXX0011110000000000000000000000000000
FD    IPPE  0011110000000000000000000000000000
FD    IPPEXX0011110000000000000000000000000000
FE          0001000000890000250000025000000890
FE    I2FC  0011110000000000000000000000000000
FE    I2HB  0011110000000000000000000000000000
FE    I2HE  0011110000000000000000000000000000
FE    I2KB  0011110000000000000000000000000000
FE    I2KE  0011110000000000000000000000000000
FE    I2PB  0011110000000000000000000000000000
FE    I2PBXX0011110000000000000000000000000000
FE    I2PE  0011110000000000000000000000000000
FE    I2PEXX0011110000000000000000000000000000
FE    IEHB  0011110000000000000000000000000000
FE    IEHE  0011110000000000000000000000000000
FE    IEKB  0011110000000000000000000000000000
FE    IEKE  0011110000000000000000000000000000
FE    IPKB  0011110000000000000000000000000000
FE    IPKE  0011110000000000000000000000000000
FE    IPPB  0011110000000000000000000000000000
FE    IPPBXX0011110000000000000000000000000000
FE    IPPE  0011110000000000000000000000000000
FE    IPPEXX0011110000000000000000000000000000
FF          0000100000299000029900002990000299
FF          0001000000299000049900004990000299
FH          0001000000890000250000025000000890
FH    I2FC  0011110000000000000000000000000000
FH    I2HB  0011110000000000000000000000000000
FH    I2HE  0011110000000000000000000000000000
FH    I2KB  0011110000000000000000000000000000
FH    I2KE  0011110000000000000000000000000000
FH    I2PB  0011110000000000000000000000000000
FH    I2PBXX0011110000000000000000000000000000
FH    I2PE  0011110000000000000000000000000000
FH    I2PEXX0011110000000000000000000000000000
FH    IEHB  0011110000000000000000000000000000
FH    IEHE  0011110000000000000000000000000000
FH    IEKB  0011110000000000000000000000000000
FH    IEKE  0011110000000000000000000000000000
FH    IPKB  0011110000000000000000000000000000
FH    IPKE  0011110000000000000000000000000000
FH    IPPB  0011110000000000000000000000000000
FH    IPPBXX0011110000000000000000000000000000
FH    IPPE  0011110000000000000000000000000000
FH    IPPEXX0011110000000000000000000000000000
FOR         0011100000490000000000000000000490
G           0001000000890000250000025000000890
G     I2FC  0011110000000000000000000000000000
G     I2HB  0011110000000000000000000000000000
G     I2HE  0011110000000000000000000000000000
G     I2KB  0011110000000000000000000000000000
G     I2KE  0011110000000000000000000000000000
G     I2PB  0011110000000000000000000000000000
G     I2PBXX0011110000000000000000000000000000
G     I2PE  0011110000000000000000000000000000
G     I2PEXX0011110000000000000000000000000000
G     IEHB  0011110000000000000000000000000000
G     IEHE  0011110000000000000000000000000000
G     IEKB  0011110000000000000000000000000000
G     IEKE  0011110000000000000000000000000000
G     IPKB  0011110000000000000000000000000000
G     IPKE  0011110000000000000000000000000000
G     IPPB  0011110000000000000000000000000000
G     IPPBXX0011110000000000000000000000000000
G     IPPE  0011110000000000000000000000000000
G     IPPEXX0011110000000000000000000000000000
G0          0001000000890000450000045000000890
G0    I2FC  0011110000890000200000020000000890
G0    I2HB  0011110000890000200000020000000890
G0    I2HE  0011110000890000200000020000000890
G0    I2KB  0011110000890000200000020000000890
G0    I2KE  0011110000890000200000020000000890
G0    I2PB  0011110000890000200000020000000890
G0    I2PBXX0011110000890000200000020000000890
G0    I2PE  0011110000890000200000020000000890
G0    I2PEXX0011110000890000200000020000000890
G0    IEHB  0011110000890000200000020000000890
G0    IEHE  0011110000890000200000020000000890
G0    IEKB  0011110000890000200000020000000890
G0    IEKE  0011110000890000200000020000000890
G0    IPKB  0011110000890000200000020000000890
G0    IPKE  0011110000890000200000020000000890
G0    IPPB  0011110000890000200000020000000890
G0    IPPBXX0011110000890000200000020000000890
G0    IPPE  0011110000890000200000020000000890
G0    IPPEXX0011110000890000200000020000000890
GL          0010000004800000000000000000004800
GLT         0011000000950000000000000000000950
GR          0001000000890000250000025000000890
GR    I2FC  0011110000000000000000000000000000
GR    I2HB  0011110000000000000000000000000000
GR    I2HE  0011110000000000000000000000000000
GR    I2KB  0011110000000000000000000000000000
GR    I2KE  0011110000000000000000000000000000
GR    I2PB  0011110000000000000000000000000000
GR    I2PBXX0011110000000000000000000000000000
GR    I2PE  0011110000000000000000000000000000
GR    I2PEXX0011110000000000000000000000000000
GR    IEHB  0011110000000000000000000000000000
GR    IEHE  0011110000000000000000000000000000
GR    IEKB  0011110000000000000000000000000000
GR    IEKE  0011110000000000000000000000000000
GR    IPKB  0011110000000000000000000000000000
GR    IPKE  0011110000000000000000000000000000
GR    IPPB  0011110000000000000000000000000000
GR    IPPBXX0011110000000000000000000000000000
GR    IPPE  0011110000000000000000000000000000
GR    IPPEXX0011110000000000000000000000000000
HA          0010000006390001790000179000006390
HS          0001000000790000000000000000000790
KD          0011110000000000000000000000000000
KI          0010000001030000000000000000001030
L45         0001000001600000450000045000001600
L45   I2PB  0011110000000000000000000000000000
L45   I2PBXX0011110000000000000000000000000000
L45   I2PE  0011110000000000000000000000000000
L45   I2PEXX0011110000000000000000000000000000
L45   IPKB  0011110000000000000000000000000000
L45   IPPB  0011110000000000000000000000000000
L45   IPPBXX0011110000000000000000000000000000
L45   IPPE  0011110000000000000000000000000000
L45   IPPEXX0011110000000000000000000000000000
L66         0001000001600000450000045000001600
L66   I2PB  0011110000000000000000000000000000
L66   I2PBXX0011110000000000000000000000000000
L66   I2PE  0011110000000000000000000000000000
L66   I2PEXX0011110000000000000000000000000000
L66   IPPB  0011110000000000000000000000000000
L66   IPPBXX0011110000000000000000000000000000
L66   IPPE  0011110000000000000000000000000000
L66   IPPEXX0011110000000000000000000000000000
LAA         0010000001200000340000034000001200
LP          0111000004800001350000135000004800
LP          0211000004800001350000135000004800
MDM         0011000001750000500000050000001750
MDM   I2EG  0011110000000000000000000000000000
MDM   I2EH  0011110000000000000000000000000000
MDM   I2EHNB0011110000000000000000000000000000
MDM   I2EHNY0011110000000000000000000000000000
MDM   I2EK  0011110000000000000000000000000000
MDM   I2EKNB0011110000000000000000000000000000
MDM   I2EKNG0011110000000000000000000000000000
MDM   I2EKNN0011110000000000000000000000000000
MDM   I2EKNO0011110000000000000000000000000000
MDM   I2EKNY0011110000000000000000000000000000
MDM   I2EKSB0011110000000000000000000000000000
MDM   I2EKSG0011110000000000000000000000000000
MDM   I2EKSN0011110000000000000000000000000000
MDM   I2EKSO0011110000000000000000000000000000
MDM   I2EKSR0011110000000000000000000000000000
MDM   I2EKSY0011110000000000000000000000000000
MDM   I2FC  0011110000000000000000000000000000
MDM   I2FCNB0011110000000000000000000000000000
MDM   I2FCNG0011110000000000000000000000000000
MDM   I2FCNN0011110000000000000000000000000000
MDM   I2FCNO0011110000000000000000000000000000
MDM   I2FCNY0011110000000000000000000000000000
MDM   I2FCSB0011110000000000000000000000000000
MDM   I2FCSG0011110000000000000000000000000000
MDM   I2FCSN0011110000000000000000000000000000
MDM   I2FCSO0011110000000000000000000000000000
MDM   I2FCSR0011110000000000000000000000000000
MDM   I2FCSY0011110000000000000000000000000000
MDM   I2FG  0011110000000000000000000000000000
MDM   I2FH  0011110000000000000000000000000000
MDM   I2FHNB0011110000000000000000000000000000
MDM   I2FHNY0011110000000000000000000000000000
MDM   I2FK  0011110000000000000000000000000000
MDM   I2FKNB0011110000000000000000000000000000
MDM   I2FKNG0011110000000000000000000000000000
MDM   I2FKNN0011110000000000000000000000000000
MDM   I2FKNO0011110000000000000000000000000000
MDM   I2FKNY0011110000000000000000000000000000
MDM   I2FKSB0011110000000000000000000000000000
MDM   I2FKSG0011110000000000000000000000000000
MDM   I2FKSN0011110000000000000000000000000000
MDM   I2FKSO0011110000000000000000000000000000
MDM   I2FKSR0011110000000000000000000000000000
MDM   I2FKSY0011110000000000000000000000000000
MDM   I2HB  0011110000000000000000000000000000
MDM   I2HBNB0011110000000000000000000000000000
MDM   I2HBNY0011110000000000000000000000000000
MDM   I2HC  0011110000000000000000000000000000
MDM   I2HE  0011110000000000000000000000000000
MDM   I2HENB0011110000000000000000000000000000
MDM   I2HENY0011110000000000000000000000000000
MDM   I2KB  0011110000000000000000000000000000
MDM   I2KBNB0011110000000000000000000000000000
MDM   I2KBNG0011110000000000000000000000000000
MDM   I2KBNN0011110000000000000000000000000000
MDM   I2KBNO0011110000000000000000000000000000
MDM   I2KBNY0011110000000000000000000000000000
MDM   I2KBSB0011110000000000000000000000000000
MDM   I2KBSG0011110000000000000000000000000000
MDM   I2KBSN0011110000000000000000000000000000
MDM   I2KBSO0011110000000000000000000000000000
MDM   I2KBSR0011110000000000000000000000000000
MDM   I2KBSY0011110000000000000000000000000000
MDM   I2KC  0011110000000000000000000000000000
