I2FG  00                     0+0400+0250+0000+0000+00000000000000000000000004000100010000250000000000000000
I2FG  0000                   0+0400+0250+0000+0000+00000000000000000000000004000120012000250000000000000000
I2FG  0000                   0+0400+0250+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FH  00                     0+0400+0000+0000+0000+00000000000000000000000004000100010000250000000000000000
I2FH  00                     0+0400+0000+0000+0000+00000000000000000000000004000120012000250000000000000000
I2FH  00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FH  0000                   0+0400+0500+0000+0000+00000000000000000000000004000100010000250000000000000000
I2FH  0000                   0+0400+0500+0000+0000+00000000000000000000000004000120012000250000000000000000
I2FH  0000                   0+0400+0500+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FHNB00                     0+0400+0000+0000+0000+00000000000000000000000004000100010000250000000000000000
I2FHNB00                     0+0400+0000+0000+0000+00000000000000000000000004000120012000250000000000000000
I2FHNB00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FHNB0000                   0+0400+0500+0000+0000+00000000000000000000000004000100010000250000000000000000
I2FHNB0000                   0+0400+0500+0000+0000+00000000000000000000000004000120012000250000000000000000
I2FHNB0000                   0+0400+0500+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FHNY00                     0+0400+0000+0000+0000+00000000000000000000000004000100010000250000000000000000
I2FHNY00                     0+0400+0000+0000+0000+00000000000000000000000004000120012000250000000000000000
I2FHNY00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FHNY0000                   0+0400+0500+0000+0000+00000000000000000000000004000100010000250000000000000000
I2FHNY0000                   0+0400+0500+0000+0000+00000000000000000000000004000120012000250000000000000000
I2FHNY0000                   0+0400+0500+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FK  00                     0+0400+0000+0000+0000+00000000000000000000000004000100010000250000000000000000
I2FK  00                     0+0400+0000+0000+0000+00000000000000000000000004000120012000250000000000000000
I2FK  00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FK  0000                   0+0400+0500+0000+0000+00000000000000000000000004000100010000250000000000000000
I2FK  0000                   0+0400+0500+0000+0000+00000000000000000000000004000120012000250000000000000000
I2FK  0000                   0+0400+0500+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FKNB00                     0+0400+0000+0000+0000+00000000000000000000000004000100010000250000000000000000
I2FKNB00                     0+0400+0000+0000+0000+00000000000000000000000004000120012000250000000000000000
I2FKNB00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FKNB0000                   0+0400+0500+0000+0000+00000000000000000000000004000100010000250000000000000000
I2FKNB0000                   0+0400+0500+0000+0000+00000000000000000000000004000120012000250000000000000000
I2FKNB0000                   0+0400+0500+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FKNN00                     0+0400+0000+0000+0000+00000000000000000000000004000100010000250000000000000000
I2FKNN00                     0+0400+0000+0000+0000+00000000000000000000000004000120012000250000000000000000
I2FKNN00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FKNN0000                   0+0400+0500+0000+0000+00000000000000000000000004000100010000250000000000000000
I2FKNN0000                   0+0400+0500+0000+0000+00000000000000000000000004000120012000250000000000000000
I2FKNN0000                   0+0400+0500+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FKNY00                     0+0400+0000+0000+0000+00000000000000000000000004000100010000250000000000000000
I2FKNY00                     0+0400+0000+0000+0000+00000000000000000000000004000120012000250000000000000000
I2FKNY00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FKNY0000                   0+0400+0500+0000+0000+00000000000000000000000004000100010000250000000000000000
I2FKNY0000                   0+0400+0500+0000+0000+00000000000000000000000004000120012000250000000000000000
