I2LS  Impression 2 L Silikat 1.60             20130401        3110010011160402674380100000000011010133000000000121908                   000000
I2LSCGImpression 2 L Silikat CM 1.60 grey     20130401        3110010011160402754280100010000011010135000000000121925                   300000
I2LSCHImpression 2 L Silikat CM 1.60 brown    20130401        3110010011160402754280100010000011010135000000000121924                   300000
I2MG  Impression 2 M 1.74                     20130401        3110010012174001473250100000000011010100000000000121006                   000000
I2MH  Impression 2 M 1.67                     20130401        3110010012166801353140100000000011010138000000000121021                   000000
I2MHNBImpression 2 M CM IQ 1.67 BN            20130401        3110010012166801373140100010000011010140000000000121043                   300000
I2MHNYImpression 2 M CM IQ 1.67 GY            20130401        3110010012166801373140100010000011010140000000000121067                   300000
I2MK  Impression 2 M 1.60                     20130401        3110010012159701304050100000000011010138000000000121305                   000000
I2MKNBImpression 2 M CM IQ 1.60 BN            20130401        3110010012159701304050100010000011010140000000000121091                   000000
I2MKNGImpression 2 M CM IQ CO 1.60 GN         20130401201403313110010012159701304050100010000011010140000000000101835                   000000
I2MKNNImpression 2 M CM IQ 1.60 GN            20130401        3110010012159701304050100010000011010140000000000121133                   000000
I2MKNOImpression 2 M CM IQ CO 1.60 OR         20130401201403313110010012159701304050100010000011010140000000000101836                   000000
I2MKNYImpression 2 M CM IQ 1.60 GY            20130401        3110010012159701304050100010000011010140000000000121112                   000000
I2MKSBImpression 2 M CM IQ SUN 1.60 BN        20140401        3110010012159701304050100010000011010140000000000101154                   000000
I2MKSGImpr. 2 M CM IQ CO SUN 1.60 GN          20140401        3110010012159701304050100010000011010140000000000101238                   000000
I2MKSNImpression 2 M CM IQ SUN 1.60 GN        20140401        3110010012159701304050100010000011010140000000000101196                   000000
I2MKSOImpr. 2 M CM IQ CO SUN 1.60 OR          20140401        3110010012159701304050100010000011010140000000000101259                   000000
I2MKSRImpr. 2 M CM IQ CO SUN 1.60 BN          20140401        3110010012159701304050100010000011010140000000000101217                   000000
I2MKSYImpression 2 M CM IQ SUN 1.60 GY        20140401        3110010012159701304050100010000011010140000000000101175                   000000
