VEE   Versicherung Einstärken                                 1111000000000000000000000010000000000000-9999+99990000155               00000                                        9
VEM   Versicherung Mehrstärken                                0110000000000000000000000010000000000000-9999+99990000154               00000                                        9
VFF   Aufpreis Verglasen Fremdfassung                         1111100000000000000000000000000000000000-9999+99990000023               00000                                        0
VK    Solitaire Silver Moon 1.6x              20060401        0010090010010000000000000101000000000000-9999+99990000099               01000                                        9
VL    Blue Mirror                             20140401        1010090000010000000000000103000000000000-9999+99990000106               01000                                        0
VM    Solitaire Silver Moon 1.50              20050501        1010090000010000000000000100000000000000-9999+99990000098               01000                                        0
VPN   verschiedene Prismen Fern-Nahteil                       1110000000000000000000000100000000000000-9999+99990000084               00000                                        0
VT    Titanium Mirror                         20140401        1010090000010000000000000103000000000000-9999+99990000108               01000                                        0
VV    Viola Mirror                            20140401        1010090000010000000000000103000000000000-9999+99990000110               01000                                        0
VZ    Bronze Mirror                           20140401        1010090000010000000000000103000000000000-9999+99990000112               01000                                        0
XL    gehärtet Kunststoff                                     0010000010000000000000000001000000000000-9999+99990000173               01000                                        9
XP    Einfach-AR Kunststoff                                   0010020000000000000000000001000000000000-9999+99990000113               01000                                        9
ZCG   Zuschlag CM 1.60/1.67 Gleitsicht                        0010000000000000000000000100000000000000-9999+99990000022               00000                                        0
ZCS   Zuschlag CM IQ Sun                                      1010000000000000000000000100000000000000-9999+99990000016               00000                                        0
ZG    Zuschlag gerandet                                       1110000000000000000000000100000000000000-9999+99990000171               00000                                        0
ZP    Einfach-AR Mineral                                      0100020000000000000000000001000000000000-9999+99990000118               01000                                        9
ZS    Super-AR Mineral                                        0100080000000000000000000001000000000000-9999+99990000123               01000                                        9
ZSM   Abschlag sph-tor Mehrstärken                            1111000000000000000000000000000000000000-9999+99990000021               00000                                        0
