I2KBNOImpr.Sport 2 CM IQ CO 1.60 OR b.c.      20130401201403313010010012159701304050100010000011010100000000000101006                   000000
I2KBNYImpr.Sport 2 CM IQ 1.60 GY b.c.         20130401        3010010012159701304050100010000011010100000000000121180                   000000
I2KBPBImpr.Sport 2 POL 1.60 BN b.c.           20150401        3110010012159701304200100200000011010340000000000121311                   001000
I2KBPGImpr.Sport 2 POL 1.60 GY b.c.           20150401        3110010012159701304200100200000011010340000000000121310                   001000
I2KBPNImpr.Sport 2 POL 1.60 GN b.c.           20150401        3110010012159701304200100200000011010340000000000121309                   001000
I2KBSBImpr.Sport 2 CM IQ SUN 1.60 BN b.c.     20140401        3010010012159701304050100010000011010100000000000101243                   000000
I2KBSGImpr.Sport 2 CM IQ CO SUN 1.60 GN b.c.  20140401        3010010012159701304050100010000011010300000000000101333                   000100
I2KBSNImpr.Sport 2 CM IQ SUN 1.60 GN b.c.     20140401        3010010012159701304050100010000011010100000000000101285                   000000
I2KBSOImpr.Sport 2 CM IQ CO SUN 1.60 OR b.c.  20140401        3010010012159701304050100010000011010200000000000101363                   000100
I2KBSRImpr.Sport 2 CM IQ CO SUN 1.60 BN b.c.  20140401        3010010012159701304050100010000011010200000000000101312                   000100
I2KBSYImpr.Sport 2 CM IQ SUN 1.60 GY b.c.     20140401        3010010012159701304050100010000011010100000000000101264                   000000
I2KC  Impr.Sport 2 1.60 clip-in               20130401        3010010012159701304050100000000011010100000000000121497                   000000
I2KE  Impr.Sport 2 1.60 e.c.                  20130401        3010010012159701304050100000000011010100000000000121494                   000000
I2KENBImpr.Sport 2 CM IQ 1.60 BN e.c.         20130401        3010010012159701304050100010000011010100000000000121158                   000000
I2KENGImpr.Sport 2 CM IQ CO 1.60 GN e.c.      20130401201403313010010012159701304050100010000011010100000000000101001                   000000
I2KENNImpr.Sport 2 CM IQ 1.60 GN e.c.         20130401        3010010012159701304050100010000011010100000000000121200                   000000
I2KENOImpr.Sport 2 CM IQ CO 1.60 OR e.c.      20130401201403313010010012159701304050100010000011010100000000000101002                   000000
I2KENYImpr.Sport 2 CM IQ 1.60 GY e.c.         20130401        3010010012159701304050100010000011010100000000000121179                   000000
I2KEPBImpr.Sport 2 POL 1.60 BN e.c.           20150401        3010010012159701304200100200000011010140000000000121307                   001000
I2KEPGImpr.Sport 2 POL 1.60 GY e.c.           20150401        3010010012159701304200100200000011010140000000000121306                   001000
I2KEPNImpr.Sport 2 POL 1.60 GN e.c.           20150401        3010010012159701304200100200000011010140000000000121305                   001000
I2KESBImpr.Sport 2 CM IQ SUN 1.60 BN e.c.     20140401        3010010012159701304050100010000011010100000000000101242                   000000
I2KESGImpr.Sport 2 CM IQ CO SUN 1.60 GN e.c.  20140401        3010010012159701304050100010000011010300000000000101332                   000100
I2KESNImpr.Sport 2 CM IQ SUN 1.60 GN e.c.     20140401        3010010012159701304050100010000011010100000000000101284                   000000
I2KESOImpr.Sport 2 CM IQ CO SUN 1.60 OR e.c.  20140401        3010010012159701304050100010000011010200000000000101362                   000100
I2KESRImpr.Sport 2 CM IQ CO SUN 1.60 BN e.c.  20140401        3010010012159701304050100010000011010200000000000101308                   000100
I2KESYImpr.Sport 2 CM IQ SUN 1.60 GY e.c.     20140401        3010010012159701304050100010000011010100000000000101263                   000000
I2LG  Impr. 2 L 1.74                          20130401        3110010012173701473250100000000011000100000000000121005                   000000
